Afli eftir fisktegundum og löndunarhöfnum, janúar 2010 - september 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2025;;;;;;;;;;;;2024;;;;;;;;;;;;2023;;;;;;;;;;;;2022;;;;;;;;;;;;2021;;;;;;;;;;;;2020;;;;;;;;;;;;2019;;;;;;;;;;;;2018;;;;;;;;;;;;2017;;;;;;;;;;;;2016;;;;;;;;;;;;2015;;;;;;;;;;;;2014;;;;;;;;;;;;2013;;;;;;;;;;;;2012;;;;;;;;;;;;2011;;;;;;;;;;;;2010;;;;;;;;;;;
;Holland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Írland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Kanada;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;56510;78284;156573;257409;72934;179027;28045;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Noregur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;27580;794811;218996;..;..;..;..;158;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10778;..;164695;225203;..;..;..;..;..;31;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;557267;275061;..;..;..;..;..;208;..;..;..;..;1230740;93792;..;529340;81732;..;..;..;..;..;..;..;..;672187;..;585726;..;..;..;..;..;735928;..;..;667252;139812;..;..;..;565935;..;..;..;..;..;..;114555;..;..;883598;1385993;..;..;..;..;..;831122;..;888529;199612;..;..;975600;1186643;..;..;..;..;..;..;..;146007;138788;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Önnur löndun;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;374;..;177;299;187;..;62;..;..;..;..;213;1629;346;1877;552;329;653;521;..;..;..;..;..;464;274;490;996;3285;1746;1722;..;..;286;..;..;..;384;584;770;2945;2716;615;57;71;137;..;381;377;301;236;1166;1878;2788;2463;93;210;0;267;..;180;700;127;1116;3031;3542;1965;513;101;0;403;953;83;307;171;1022;215;2114;2449;..;211;751;..;99;110;..;36;2296;2745;1955;545;209;27;243;43;357;274;99;439;5133;1201;564;6681;169;9466;1342;..;4802;272;900;2905;1780;2307;2389;1334;..;..;0;..;58206;48070;95357;247667;158846;206442;329433;194843;..;..;0;..;115000;95477;137600;179969;165148;227434;326113;183360;205865;136228;321059;127834;133104;176225;222940;160279;203288;247875;356349;137200;324043;231240;199524;130879;277753;326926;355966;332890;248818;299396;222980;197365;431365;168408;233770;79148
;Flutningaskip;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Gámur/Sigling;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;58206;48070;92682;247542;156992;195959;322520;189431;..;..;..;..;115000;95477;137291;179602;158668;226312;318016;181177;205865;136132;320952;127834;133104;175828;222902;159207;201529;246650;352043;136143;324043;231240;199524;130879;277753;326818;355966;332890;248502;296810;222270;196934;431365;168408;233770;78823
;Ótilgreint;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;374;..;177;299;187;..;62;..;..;..;..;213;1629;346;1877;552;329;653;521;..;..;..;..;..;464;274;490;996;3285;1746;1722;..;..;286;..;..;..;384;584;770;2945;2716;615;57;71;137;..;381;377;301;236;1166;1878;2788;2463;93;210;0;267;..;180;700;127;1116;3031;3542;1965;513;101;0;403;953;83;307;171;1022;215;2114;2449;..;211;751;..;99;110;..;36;2296;2745;1955;545;209;27;243;43;357;274;99;439;5133;1201;564;6681;169;9466;1342;..;4802;272;900;2905;1780;2307;2389;1334;..;..;0;..;..;0;2675;125;1854;10483;6913;5412;..;..;0;..;0;0;309;367;6480;1122;8097;2183;..;96;107;..;0;397;38;1072;1759;1225;4306;1057;..;..;0;..;0;108;0;0;316;2586;710;431;..;0;0;325
Ýsa;Allar löndunartegundir;7298257;6995734;9656868;8126659;6497613;4404406;5661961;7120516;6388842;..;..;..;5829012;6907494;7432810;9448163;8069438;4477753;6250479;6923708;7593241;9240143;6184426;5375226;5446850;5810690;6550989;5439764;5518585;3896508;3642588;5652959;6916939;8923503;6931537;4812342;3102079;3799833;5504698;4448114;4605449;2485820;2681429;4395188;6683644;7175378;7433842;4788569;5185689;4881245;5720968;5211544;4592215;3790046;3018887;4840976;4492191;4911456;5472410;4310075;3890000;4548584;5236583;4439635;3475891;2659892;3184812;4286807;5758952;5912102;5567701;5140957;7414222;5785932;6152920;7594574;4066557;1826947;3885780;4480509;4346417;4430827;4618649;3315722;4574591;3986751;4142904;3943701;3388619;2369908;3555881;4432835;3643284;5014411;5896479;3714334;1221939;2146563;4902244;3954903;3611764;1778421;2335755;3077097;3045009;3685819;3474878;2959987;3905824;4658127;3798061;3639040;3098741;1779028;2070523;3170787;3215803;3768694;3188499;2291491;3936778;4170127;4673392;2479664;3001734;2583228;2484221;3206681;3334176;4014754;3817366;3292067;4345747;4124362;5154900;2775257;2957293;1700610;2002219;1625602;2481790;3473200;3259484;2214151;4692203;5634862;4964656;4258888;3380861;2064374;1753407;1660596;4065587;4713252;5173548;3300975;5849531;5937337;6498507;4690035;4498918;1892065;2042436;1895128;3215604;4251683;4255831;2779569;3768499;4635498;7069826;5273661;4598675;2011809;2020892;3558562;3762641;4669087;5645228;4271723;5424062;6559318;7938254;5186073;7226832;3959158;3519624;6451018;4433802;4542656;5560385;4138139
;Akranes;15807;36223;24813;6381;103;335;316;48;..;..;..;..;14664;2448;..;8909;2929;142;144;296;853;178;235;6959;14730;2254;17488;4407;14387;522;61;45;235;528;1693;22786;6973;740;26015;2672;120;66;376;105;857;718;663;19757;12368;7117;6961;8532;3047;70;13;215;6231;839;2296;4242;27564;24443;7475;7138;6349;928;123;2;4205;619;1157;33601;46264;26109;21483;11647;14993;10;10;..;115;5563;2113;23734;9057;9899;12025;4049;1855;183;30;4;306;564;14673;43699;32943;39517;10525;5399;5664;41;1;4;128;438;269;658;45108;40409;12320;20850;2298;51;366;235;332;1668;21783;9332;38715;21934;27672;4070;11715;1279;399;589;1990;21034;51775;31321;20605;11409;11984;10238;2379;893;196;28;538;6913;40108;27172;32930;22861;10934;24299;11196;437;367;199;1355;35788;46114;14266;57069;31591;6841;499;700;1080;153;365;2074;4650;56937;32295;96842;41851;5905;737;170;1245;392;105;544;2213;32993;51972;86333;73983;9246;151;5863;1804;692;672;834;15443;65582;79715
;Akureyri;385172;108920;880;1708;213529;32238;44437;138059;149878;..;..;..;291848;207462;208673;55307;153682;181422;65408;235867;147186;319829;48995;177967;235746;336922;34779;1269;185285;161082;82;154673;165698;285120;155193;134650;151612;284554;290529;17247;20833;37645;33291;38747;148014;68325;40949;120369;116959;21379;27091;142946;88504;203403;9560;10137;28969;59513;136917;112698;138145;196090;321943;156494;116000;14335;24730;8318;108241;70207;65249;131436;358098;139783;184548;82216;31288;926;25961;55583;3946;11269;18533;95044;261682;187472;51261;40215;92579;55895;130747;26150;37613;70913;112809;73571;3900;39058;153867;18106;90256;72389;3787;68834;54142;35624;66136;86791;107894;295624;233985;106330;18440;5238;81541;231462;66773;40335;76284;169190;165187;96422;152706;129934;20950;44564;80361;372967;2989;18073;34395;63144;113137;44784;153324;49281;133216;50869;30;25380;11025;116979;57583;64686;71066;121240;125858;39521;73783;52744;338;53553;66468;33934;39758;81949;265600;106358;156645;76100;83376;28142;..;10388;17820;28014;8543;134476;7929;144851;105921;77813;178151;17602;179948;34666;61250;135712;127927;177657;174889;94197;302636;11493;204893;63507;6527;256057;13993;117369;97190;89486
;Arnarstapi;12105;13771;46640;33415;8999;325;276;23570;52418;..;..;..;38529;56602;40021;2450;345;106;75;3768;55410;52018;46958;23231;24206;11666;53723;1485;4460;392;148;5;18647;11226;20849;14994;2996;..;70329;12781;2361;107;113;3255;2442;106591;42438;50359;51254;56856;..;4554;6820;910;15;305;..;34373;49711;30975;..;13127;29367;4098;19973;208;1730;1392;209;5226;15465;126314;27851;12476;24492;178;14243;129;512;13;4525;..;..;..;55132;764;32141;10317;14284;1131;763;414;9785;30612;75295;31385;23652;28109;5573;3700;1790;578;308;..;7756;25149;11057;11091;23269;16460;18463;30710;6613;2604;41;69;372;1220;11969;19173;21721;39823;3315;4279;29840;209;1118;339;13170;23276;18936;12762;31170;58819;17615;22859;35454;76;249;222;3192;58304;26492;25407;32924;39904;5675;4133;197;7;443;38;5278;49710;32449;39296;37928;9029;87;533;119;90;51;..;..;..;65251;23594;27485;28960;..;..;3427;39;72;2197;10;273;2499;64577;13161;6822;14;..;410;42;189;465;25898;45396;68057;33819
;Árskógsströnd;..;..;..;..;..;..;..;..;..;..;..;..;19257;15022;957;7021;1555;1077;..;15978;20968;29047;30722;8198;5374;6878;2358;2795;1426;1246;35;13339;19056;14669;19210;16774;20777;2894;2860;2981;500;172;124;3449;7490;19826;9090;929;20566;8279;2791;2264;135;275;449;11461;18415;30637;44043;29422;17033;3299;103;284;392;24;..;..;1274;45312;25389;18722;25154;35549;3418;10;849;..;625;26293;21285;26944;23483;32162;27328;10395;5970;..;2677;902;1336;11160;25650;66633;67561;54300;20805;19050;16268;7468;24;..;..;24994;25538;37275;31877;31124;6742;2706;967;1487;241;1080;..;28302;27612;28468;23127;16765;16751;2236;1160;354;1733;63;..;6258;22438;23190;17323;10870;21645;6319;4808;171;6387;3479;11303;19652;17939;29895;33075;22485;46325;13557;8451;2098;3763;3991;11834;20109;50204;44513;28070;37376;49472;24096;5127;442;2884;1268;13122;27962;45053;37761;38494;37820;30066;14155;3209;1539;4782;6903;3467;21905;54643;56478;66052;68721;74952;12237;5829;5322;3997;2821;13430;42750;49097;34776;43849;22021
;Bakkafjörður;31488;43081;28275;3796;13312;8883;417;57;175;..;..;..;29320;32853;18281;11101;26084;40859;8387;49;11;10850;29824;13502;9618;28417;55073;41508;28042;3066;13737;52158;13866;32278;20963;21922;6743;..;612;4523;1611;593;432;46169;5665;25;..;..;1390;744;2544;12127;19342;4707;25416;3985;3115;6684;19543;18043;1912;37;3247;4100;29938;14943;3575;14160;16752;41509;2575;1831;4557;7761;37366;41712;33527;62033;41692;11343;10889;16472;34864;12706;4619;4546;4137;2182;17546;67589;83066;37369;35019;16539;19517;8732;7750;4853;3506;9924;24063;1371;19774;15303;5263;23939;35571;21633;11633;11340;6081;6815;18756;614;4905;22402;20059;25996;21228;4955;4457;4033;3043;1238;13092;16890;10644;9742;4040;12947;21268;12684;1532;428;4056;5988;13555;9468;18920;14071;1959;14394;14943;2361;1236;2310;683;2855;18837;5451;15337;8316;9376;28720;32594;7982;6556;4773;2968;691;24572;17046;29075;7646;3484;8482;15610;4970;217;6348;5891;5778;23991;20534;33397;13810;544;20569;24419;210;9091;8430;734;1170;3420;25315;67204;12711;5614;17585;26662;10489
;Bíldudalur;12961;8690;..;29;315;..;..;..;..;..;..;..;..;..;..;..;..;..;8533;..;..;..;..;5925;..;..;..;..;..;..;12;..;..;..;..;..;..;..;..;..;..;..;..;..;4372;..;..;2067;421;..;..;..;..;10;12;..;985;1935;1710;..;81;..;..;..;..;69;29;20;3698;..;1911;502;6161;94;..;..;..;..;..;..;..;7645;1261;1354;3797;559;..;..;..;..;10;5;1191;..;4790;22218;43263;8405;..;..;..;..;..;..;..;..;222;8048;..;..;..;..;..;..;..;596;617;..;1293;5394;301;..;3141;..;..;..;4;..;198;..;..;1428;1756;..;9198;..;..;..;..;..;2460;554;..;..;2130;271;..;..;0;..;..;..;..;2439;3460;..;16620;2459;1;..;425;359;4;189;8355;32920;5740;2593;3246;6697;31;..;..;66;..;..;..;14371;26098;14076;28215;4234;2506;..;119;..;..;..;..;3149;..;1752
;Blönduós;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;50;1210;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;332;..;..;635;7440;8481;10412;3720;2485;..;..
;Bolungarvík;368181;281828;119986;65841;80403;98915;67484;330370;297533;..;..;..;303838;234240;81522;64286;94403;269911;114833;411481;312347;309056;284040;354480;230719;196821;101020;74745;86947;263872;127569;227629;245893;336473;226712;264048;118790;90568;84597;59229;53190;84096;38290;334696;386426;233047;206235;284946;151096;87441;52002;39742;60106;356775;298413;321350;195245;218333;310250;124502;145742;115625;89374;31552;103211;336063;236237;213018;371864;308813;285105;206781;260473;199688;176410;76131;100884;134162;108229;268819;301521;210129;267911;205892;129207;93026;29023;17391;133374;356070;179174;355692;232291;229737;239441;207128;103767;286463;108367;30097;57920;139082;117509;185628;216090;269121;179124;213301;171726;150522;42170;53847;94152;155722;200474;245380;222755;251142;207317;171142;294547;133002;78315;26658;155412;191162;134573;286675;348886;311521;269665;179239;165050;84375;112535;48430;177588;234687;267727;289065;247890;223757;281751;177927;326988;244493;45513;30584;109672;156165;356652;508558;479149;426789;385667;282626;297762;241460;114177;35111;111903;205191;240621;325506;497960;447164;359857;355403;199255;189464;137596;76892;77453;104143;105866;300865;491644;507967;410309;313429;227307;100355;58997;14966;158030;219294;253449;355834;291310;265574;288698;243288
;Borgarfjörður Eystri;30185;15641;6769;5090;3637;3062;12733;22157;21370;..;..;..;24353;9542;10473;13841;2672;2947;8818;8354;8824;26170;16321;17696;4900;9624;3272;4797;5571;5411;8756;25840;23371;41734;31305;18858;1730;496;2925;7720;1794;5987;11602;13770;14403;34236;21941;24224;1789;7387;3215;1180;710;3610;12324;10173;8798;17523;10939;21868;1197;3645;509;304;38;778;3930;9086;11534;16174;11017;6129;4158;3327;133;24;774;9607;18726;24820;18582;14364;20527;..;6191;1357;1978;1357;869;14696;20062;22241;12945;13817;29583;2575;3951;2372;1382;2070;73;3539;15538;21324;12433;35221;10021;6352;2651;32;943;1852;860;1909;4778;18419;19585;18577;27547;6041;1985;856;200;3219;640;7003;9313;13794;15692;16765;17840;4543;346;78;384;1212;4149;124;3351;7649;17952;20864;21836;3443;615;278;2008;2860;1637;1146;10314;29067;13347;18447;13304;7057;2729;65;114;65;1494;13832;23406;10533;14911;13525;16323;13940;5691;565;21;38;789;2133;16219;16079;10649;15563;25730;3632;7046;901;161;364;662;4937;13171;23366;22261;16149;33047;27513
;Breiðdalsvík;17344;6069;9046;3505;25152;3666;23187;..;5429;..;..;..;8373;15641;8435;7493;30398;3543;49636;29179;23291;37185;14838;4654;11076;12624;1786;4709;18346;16220;15396;22044;29450;38505;23519;6497;8213;8758;4662;4938;4017;2366;8519;8048;20730;24903;32322;15613;9514;7380;1673;2801;8950;4975;13374;5498;24616;50109;30282;8893;14335;19581;2909;5244;7200;3378;22438;39774;41433;71864;66407;16293;18672;16176;4545;501;7790;10827;10054;38735;18443;10323;45120;13660;27580;37617;8094;1143;9130;4164;23164;21234;31832;29386;24803;8169;37231;37170;7448;3907;28325;30726;44391;13377;2741;30727;20839;13191;27521;63571;19349;7589;17247;3702;2697;28727;7137;21798;27312;25944;22723;27212;30705;2712;10492;15565;12033;21128;24885;29180;18698;24571;12010;7066;16111;19408;33741;13065;5357;8169;14620;22177;34740;9074;659;9056;8359;5508;5571;1840;127;838;9749;21747;8518;7621;20768;8379;8445;4738;..;573;726;660;8564;8991;3633;4125;9926;50363;12643;2598;1194;3223;2109;19696;10424;60337;44689;16226;5470;277;168;245;185;68;37;11455;20827;4473;15556;..
;Brjánslækur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..
;Búðardalur;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
;Dalvík;267195;118475;32009;218;185930;174859;301676;382213;427173;..;..;..;176311;238524;228667;93815;159189;54199;49226;169274;266043;431642;175311;108452;155309;65943;4023;2200;190971;75741;108414;215937;438620;407880;397209;149312;91539;201271;106107;6160;39325;18309;69491;150275;214064;115325;138712;94725;136578;58441;39968;63437;143398;89855;28616;54158;72492;143740;218038;180640;102212;72870;245935;40569;6746;18542;61690;35127;410887;210975;161367;222236;313433;157760;107822;41213;55882;170799;137040;77761;58101;146118;67212;32470;202035;176611;106760;56419;172699;100577;54752;406947;171852;229105;179063;152581;43866;44726;101678;54816;97071;84436;123584;48267;106678;219881;167049;125907;98524;244354;71019;124671;94874;109701;103142;172969;105839;249606;43552;20245;154910;207800;137821;5304;15574;38707;94029;83082;129130;176857;74253;58668;150031;117137;44324;90239;82545;117328;125160;718;50889;301009;178053;123876;170814;107353;35742;1234;76863;120535;95140;12487;91194;215884;194765;97065;98162;93089;55685;41000;94524;26522;10616;14695;38397;42159;37520;75439;144401;162573;159803;18353;24248;60005;6612;14721;112229;113844;132598;71928;168633;103719;32285;50045;131051;74657;26452;89639;188612;107441;180167;113068
;Djúpivogur;42207;257608;73009;108956;261545;123447;42218;42678;134448;..;..;..;58617;100036;107661;31740;136947;80369;110970;168639;197076;142842;106416;25996;103047;166638;21178;28934;177138;12090;10331;30533;186357;185472;42531;24444;43593;61903;18443;20539;41253;7736;3855;10268;18937;50919;63377;10350;44253;99760;35641;11063;12231;8301;25913;21518;6015;32186;60203;75558;212692;151764;15945;9778;66633;15549;35222;7422;36788;254226;60322;184941;199106;41789;23732;11165;27500;2751;6042;29824;139107;169321;139146;38380;68742;98016;9832;14076;22856;89928;8514;15681;49353;75812;242609;101922;20858;60134;13361;1106;19159;19508;5806;50135;60956;48198;90903;35466;17726;36953;20097;9186;60939;36238;32321;43754;27593;36312;38887;10852;7675;19536;9687;5695;8606;7184;14099;29147;67768;72386;81995;45639;133532;12893;5599;9826;16538;49479;42553;13760;195736;145348;141867;22327;173913;58391;5245;4223;56928;50807;60936;19062;113920;190476;122731;93848;420497;65661;16172;4843;11479;14112;6541;9247;138836;140262;365863;136959;227173;35717;74440;..;16680;23883;16848;41246;35889;166588;349038;257866;315827;255254;13268;5;1957;32488;7520;90397;142038;80798;489892;369733
;Drangsnes;15295;8019;7530;4271;673;35679;103588;155320;84051;..;..;..;33831;14971;3476;6927;2120;13250;74552;123189;94638;48948;41032;17555;17433;1165;3032;43;6176;36410;31313;122494;32030;72350;65786;28764;46275;12343;1830;4516;10310;11789;25247;95353;40129;88802;55469;19675;20953;14637;1816;404;1390;7608;52445;140697;39923;47932;70492;35050;19279;22739;9143;11;28622;40557;37926;128610;78826;126150;108083;33530;18642;4536;1949;143;533;11767;62644;108074;118986;73068;77187;15701;20093;3212;1773;8;5382;10982;62019;75998;21758;58425;44601;39467;31710;15119;5676;..;4803;5648;24405;62151;14960;44062;19604;11875;19304;1884;528;..;3259;10416;20272;48467;28323;66561;42861;27534;62524;24676;6032;..;16135;3565;42298;26725;9032;45565;53665;27656;42762;18530;19069;9398;6026;23862;19852;91;71;50099;83833;39012;26379;27385;13553;61;15407;29651;39538;43362;27248;26577;61477;17073;33409;22175;8501;596;6728;27812;49759;54358;46404;59225;31831;22626;34776;16158;7038;1589;3759;10023;21993;28850;37947;65054;80428;34572;65646;11932;8188;877;157;7067;56815;183879;31258;47550;44716;32893
;Eskifjörður;9186;58942;..;..;7275;142399;33447;50059;4054;..;..;..;56983;..;30417;..;..;952;..;81108;64637;41165;83258;12015;..;49874;444;..;3974;..;13;..;27448;69719;167926;43368;181;68;4586;..;13300;3360;0;0;7765;132197;236911;26439;19774;20334;..;..;..;2061;26452;27;8958;33511;4383;42940;28865;13395;7305;3983;..;5660;27138;52030;125235;199965;93556;39991;89662;18923;5387;16;..;12047;9;22224;136474;82438;133805;95492;43950;26037;61192;..;..;7883;23;19938;83057;212222;231841;84140;1088;10;69033;..;..;3714;131;11234;38845;43745;17165;129;205943;85587;5280;281;19817;1565;78387;26458;55021;85432;16353;6506;10532;153214;1566;24;14104;1942;1528;27317;43284;160173;65691;7884;29007;68854;3472;286;279;6712;419;1943;39659;140149;81244;26670;2212;29201;2471;13389;138713;..;424;12657;28730;23114;45022;81356;139763;66551;2658;..;465;6709;7026;976;17300;25752;65781;2733;18033;14545;87;190;448;1393;672;80;6846;16549;32695;3285;21504;81330;1102;21278;6019;42;19;4304;15384;43141;34717;5503
;Fáskrúðsfjörður;140389;119759;43234;81100;66178;17746;31390;65275;117484;..;..;..;163575;49353;35783;82575;60970;67373;76056;10570;133111;135714;88784;62801;99624;73826;18005;67533;99023;210435;141456;2;94177;127704;108009;103815;34808;90552;5512;33468;54061;46454;38274;35923;78153;83328;130454;72834;82214;49553;13268;17009;63777;51192;82739;42934;38011;88986;100575;87433;116397;16675;20965;36253;21164;34575;64047;121156;59268;36873;58158;24706;81083;95011;12698;10829;37319;17753;3091;..;21867;26193;63466;26500;111334;47837;277;48079;60498;86764;233889;120525;46435;11661;34307;24830;2224;17507;5238;76262;70770;5943;33844;43914;17008;18304;31301;29678;44255;31441;23466;55841;57017;36974;40335;..;..;9172;20437;33827;40868;6;5759;12132;54020;65033;45309;2747;2852;35419;47923;77294;97357;94157;18198;8218;41483;7462;724;10;13425;629;3048;11212;98138;45634;16134;18078;55492;107947;6032;4454;8196;12548;73469;20836;66482;124216;23479;47634;73332;9778;300;1447;9958;36933;18807;32646;62155;27290;20618;6159;106748;23251;6;28;5667;31103;92460;40874;37794;116205;7616;50298;219826;137495;4148;5819;30277;7223;67051;19599
